target_id	length	eff_length	est_counts	tpm
AAC73112	66	3.13016	1073	21246.4
AAC73113	2463	2364	2762	72.415
AAC73114	933	834	974	72.3845
AAC73115	1287	1188	1832	95.5788
AAC73116	297	198	130	40.694
AAC73117	777	678	513	46.8965
AAC73118	1431	1332	106	4.93235
AAC73119	954	855	9587	694.975
AAC73120	588	489	746	94.5546
AAC73121	567	468	514	68.0722
AAC73122	714	615	99	9.97729
AAC73124	405	306	0	0
AAC73125	1917	1818	4814	164.121
AAC73126	1131	1032	1057	63.4816
AAC73127	1113	1014	653.667	39.955
AAT48122	153	54	8.29566	9.5216
AAC73129	210	111	83.7043	46.7388
AAC73130	1167	1068	1016	58.9624
AAC73131	906	807	575	44.1618
AAC73132	504	405	237.54	36.3525
AAC73133	276	177	158.133	55.3735
AAC73134	264	165	4999	1877.81
AAC73135	219	120	26	13.429
AAC73136	942	843	3007	221.085
AAC73137	2817	2718	9490	216.406
AAC73138	495	396	1226	191.888
AAC73139	450	351	1327	234.324
AAC73140	951	852	3031	220.495
AAC73141	915	816	95	7.21583
AAC73142	822	723	934	80.0684
AAC73143	1149	1050	379	22.3719
AAC73144	3222	3123	1139	22.605
AAC73145	396	297	0	0
AAC73146	591	492	34	4.28318
AAC73147	786	687	26	2.34568
AAC73148	1554	1455	89	3.79123
AAC73149	1218	1119	41	2.27094
AAC73150	1143	1044	203	12.0517
AAC73151	1515	1416	57	2.49496
AAC73152	771	672	0	0
AAC73153	942	843	2	0.147047
AAC73154	1287	1188	2	0.104344
AAC73155	288	189	0	0
AAC73156	1332	1233	15	0.754016
AAC73157	531	432	40	5.7389
AAC73158	1863	1764	182	6.39478
AAC73159	480	381	727	118.267
AAC73160	843	744	1426	118.795
AAC73161	378	279	1619	359.663
AAC73162	822	723	1963	168.281
AAC73163	990	891	1390	96.6918
AAC73164	1287	1188	4760	248.338
AAC73165	2355	2256	5952	163.522
AAC73166	816	717	826	71.4025
AAC73169	660	561	126	13.9207
AAC73170	2907	2808	43	0.949126
AAC73171	2352	2253	0	0
AAC73172	696	597	0	0
AAC73173	1503	1404	0	0
AAC73174	1701	1602	0	0
AAC73175	879	780	35895	2852.28
AAC73176	765	666	0	0
AAC73177	699	600	1	0.1033
AAC73178	1611	1512	0	0
AAC73179	984	885	0	0
AAC73180	1656	1557	0	0
ACO59989	132	33.0202	0	0
AAT48123	1179	1080	0	0
AAC73182	606	507	0	0
AAC73183	1401	1302	0	0
AAC73184	1092	993	0	0
AAC73185	1572	1473	0	0
AAC73186	87	5.29969	0	0
AAC73187	945	846	0	0
AAC73188	1725	1626	0	0
AAC73189	492	393	0	0
AAC73191	1005	906	16	1.09457
AAC73192	459	360	1617	278.394
AAC73193	942	843	2237	164.472
AAC73194	366	267	1298	301.312
AAC73195	1767	1668	1412	52.4676
AAC73196	1488	1389	1995	89.0212
AAC73197	1359	1260	1688	83.0337
AAC73198	1083	984	1237	77.9161
AAC73199	1317	1218	1844	93.8353
AAC73200	1245	1146	1980	107.086
AAC73201	1068	969	1589	101.637
AAC73202	1476	1377	2671	120.224
AAC73203	921	822	3027	228.241
AAC73204	831	732	2577	218.201
AAC73205	1263	1164	3493	185.994
AAC73206	1152	1053	6143	361.58
AAC73207	918	819	10045	760.184
AAC73208	513	414	2304	344.933
AAC73209	2706	2607	10803	256.836
AAC73210	390	291	188	40.0422
AAC73212	198	99	295	184.688
AAC73213	744	645	578	55.5419
AAC73214	621	522	266	31.5838
AAC73215	1044	945	902	59.1599
AAC73217	1203	1104	41	2.3018
AAC73218	1386	1287	385	18.5411
AAC73219	441	342	35	6.343
AAC73220	894	795	1365	106.419
AAC73221	552	453	336	45.972
AAC73222	855	756	199	16.3149
AAC73223	1374	1275	645	31.3547
AAC73224	765	666	6852	637.67
AAC73225	2664	2565	54001	1304.87
AAC73226	1893	1794	58864	2033.67
AAC73227	1425	1326	24881	1162.99
AAC73228	1854	1755	165	5.82719
AAC73229	2598	2499	16091	399.089
AAC73230	363	264	2035	477.764
AAC73231	795	696	2403	213.992
AAC73232	867	768	1747	140.989
AAC73233	348	249	1415	352.217
AAC73234	1551	1452	759	32.3987
AAC73235	2391	2292	1301	35.1816
AAC73236	537	438	1212	171.507
AAC73237	663	564	4898	538.26
AAC73238	927	828	577	43.1915
AAC73239	771	672	196	18.0775
AAC73240	441	342	204	36.9706
AAC73241	1230	1131	645	35.3468
AAC73242	381	282	1428	313.857
AAC73243	903	804	338	26.0563
AAC73244	852	753	1288	106.017
AAC73245	795	696	866	77.119
AAC73246	1239	1140	59	3.20774
AAC73247	597	498	0	0
AAC73248	606	507	0	0
AAC73249	570	471	0	0
AAC73250	2598	2499	27	0.669653
AAC73251	741	642	5	0.482711
AAC73252	585	486	9	1.14778
AAC73253	480	381	585	95.1664
AAC73254	1398	1299	3044	145.241
AAC73255	927	828	268	20.0612
AAC73256	456	357	4716	818.763
AAC73257	705	606	635	64.9462
AAC73258	531	432	181	25.9685
AAC73259	2430	2331	568	15.1028
AAC73260	2535	2436	2588	65.8475
AAC73261	2244	2145	4367	126.185
AAC73262	798	699	119	10.5517
AAC73263	891	792	98	7.66926
AAC73264	1983	1884	256	8.42193
AAC73265	1281	1182	1065	55.8451
AAC73266	1422	1323	335	15.6941
