target_id	length	eff_length	est_counts	tpm
AAC73112	66	3.13016	2000	23910.3
AAC73113	2463	2364	6709	106.202
AAC73114	933	834	2514	112.803
AAC73115	1287	1188	3283	103.413
AAC73116	297	198	291	54.9984
AAC73117	777	678	632	34.8827
AAC73118	1431	1332	760	21.3517
AAC73119	954	855	26931	1178.72
AAC73120	588	489	1960	149.993
AAC73121	567	468	895	71.5649
AAC73122	714	615	141	8.57959
AAC73124	405	306	7	0.85605
AAC73125	1917	1818	6901	142.05
AAC73126	1131	1032	2016	73.1027
AAC73127	1113	1014	1280.67	47.2629
AAT48122	153	54	0	0
AAC73129	210	111	182	61.358
AAC73130	1167	1068	1742	61.0379
AAC73131	906	807	1208	56.0165
AAC73132	504	405	874.255	80.7803
AAC73133	276	177	428.766	90.6504
AAC73134	264	165	8177	1854.52
AAC73135	219	120	95	29.6254
AAC73136	942	843	5055	224.397
AAC73137	2817	2718	20486	282.053
AAC73138	495	396	2623	247.871
AAC73139	450	351	2827	301.399
AAC73140	951	852	5736	251.937
AAC73141	915	816	212	9.72228
AAC73142	822	723	1280	66.2513
AAC73143	1149	1050	683	24.3419
AAC73144	3222	3123	1620	19.4118
AAC73145	396	297	10	1.25999
AAC73146	591	492	28	2.12969
AAC73147	786	687	0	0
AAC73148	1554	1455	215	5.52966
AAC73149	1218	1119	121	4.04648
AAC73150	1143	1044	209	7.49149
AAC73151	1515	1416	40	1.05711
AAC73152	771	672	51	2.84003
AAC73153	942	843	0	0
AAC73154	1287	1188	20	0.629994
AAC73155	288	189	0	0
AAC73156	1332	1233	2	0.0607001
AAC73157	531	432	48	4.15796
AAC73158	1863	1764	408	8.65534
AAC73159	480	381	2251	221.092
AAC73160	843	744	3617	181.927
AAC73161	378	279	4339	581.98
AAC73162	822	723	5901	305.429
AAC73163	990	891	3423	143.765
AAC73164	1287	1188	9682	304.98
AAC73165	2355	2256	17535	290.864
AAC73166	816	717	1013	52.8704
AAC73169	660	561	284	18.9443
AAC73170	2907	2808	164	2.18559
AAC73171	2352	2253	0	0
AAC73172	696	597	0	0
AAC73173	1503	1404	0	0
AAC73174	1701	1602	0	0
AAC73175	879	780	63777	3059.79
AAC73176	765	666	0	0
AAC73177	699	600	0	0
AAC73178	1611	1512	0	0
AAC73179	984	885	0	0
AAC73180	1656	1557	0	0
ACO59989	132	33.0202	0	0
AAT48123	1179	1080	0	0
AAC73182	606	507	0	0
AAC73183	1401	1302	0	0
AAC73184	1092	993	0	0
AAC73185	1572	1473	0	0
AAC73186	87	5.29969	0	0
AAC73187	945	846	0	0
AAC73188	1725	1626	2	0.0460291
AAC73189	492	393	0	0
AAC73191	1005	906	9	0.371738
AAC73192	459	360	2371	246.463
AAC73193	942	843	3364	149.331
AAC73194	366	267	1667	233.64
AAC73195	1767	1668	2927	65.6673
AAC73196	1488	1389	3837	103.374
AAC73197	1359	1260	3844	114.166
AAC73198	1083	984	3561	135.425
AAC73199	1317	1218	3917	120.345
AAC73200	1245	1146	3866	126.241
AAC73201	1068	969	3254	125.666
AAC73202	1476	1377	4409	119.82
AAC73203	921	822	4172	189.931
AAC73204	831	732	3916	200.195
AAC73205	1263	1164	6770	217.65
AAC73206	1152	1053	13764	489.146
AAC73207	918	819	26395	1206.04
AAC73208	513	414	5904	533.665
AAC73209	2706	2607	20184	289.727
AAC73210	390	291	371	47.7094
AAC73212	198	99	493	186.352
AAC73213	744	645	1359	78.8465
AAC73214	621	522	511	36.633
AAC73215	1044	945	1808	71.5961
AAC73217	1203	1104	240	8.13513
