target_id	length	eff_length	est_counts	tpm
AAC73112	66	3.13016	493	22338.6
AAC73113	2463	2364	1215	72.8963
AAC73114	933	834	479	81.4604
AAC73115	1287	1188	567	67.693
AAC73116	297	198	71	50.8593
AAC73117	777	678	252	52.7166
AAC73118	1431	1332	264	28.111
AAC73119	954	855	9859	1635.47
AAC73120	588	489	676	196.072
AAC73121	567	468	253	76.6746
AAC73122	714	615	14	3.22872
AAC73124	405	306	0	0
AAC73125	1917	1818	21219	1655.42
AAC73126	1131	1032	2144	294.661
AAC73127	1113	1014	520	72.7348
AAT48122	153	54	17	44.6511
AAC73129	210	111	74	94.5553
AAC73130	1167	1068	411	54.5818
AAC73131	906	807	183	32.1628
AAC73132	504	405	197.414	69.1352
AAC73133	276	177	127.821	102.425
AAC73134	264	165	1199	1030.65
AAC73135	219	120	15	17.7291
AAC73136	942	843	1348	226.798
AAC73137	2817	2718	4419	230.596
AAC73138	495	396	553	198.065
AAC73139	450	351	506	204.466
AAC73140	951	852	1208	201.096
AAC73141	915	816	564	98.0316
AAC73142	822	723	721	141.441
AAC73143	1149	1050	155	20.9372
AAC73144	3222	3123	382	17.3488
AAC73145	396	297	58	27.698
AAC73146	591	492	22	6.34212
AAC73147	786	687	0	0
AAC73148	1554	1455	56	5.45886
AAC73149	1218	1119	44	5.57699
AAC73150	1143	1044	81	11.0043
AAC73151	1515	1416	1	0.100164
AAC73152	771	672	30	6.33183
AAC73153	942	843	0	0
AAC73154	1287	1188	0	0
AAC73155	288	189	0	0
AAC73156	1332	1233	0	0
AAC73157	531	432	32	10.5061
AAC73158	1863	1764	146	11.739
AAC73159	480	381	310	115.402
AAC73160	843	744	507	96.6522
AAC73161	378	279	299	152
AAC73162	822	723	822	161.254
AAC73163	990	891	622	99.0124
AAC73164	1287	1188	1853	221.226
AAC73165	2355	2256	3231	203.13
AAC73166	816	717	247	48.8601
AAC73169	660	561	68	17.1919
AAC73170	2907	2808	66	3.33368
AAC73171	2352	2253	0	0
AAC73172	696	597	0	0
AAC73173	1503	1404	0	0
AAC73174	1701	1602	0	0
AAC73175	879	780	15543	2826.29
AAC73176	765	666	0	0
AAC73177	699	600	0	0
AAC73178	1611	1512	0	0
AAC73179	984	885	0	0
AAC73180	1656	1557	0	0
ACO59989	132	33.0202	0	0
AAT48123	1179	1080	0	0
AAC73182	606	507	0	0
AAC73183	1401	1302	0	0
AAC73184	1092	993	0	0
AAC73185	1572	1473	0	0
AAC73186	87	5.29969	0	0
AAC73187	945	846	0	0
AAC73188	1725	1626	0	0
AAC73189	492	393	0	0
AAC73191	1005	906	32	5.00955
AAC73192	459	360	1083	426.681
AAC73193	942	843	985	165.724
AAC73194	366	267	321	170.518
AAC73195	1767	1668	764	64.9642
AAC73196	1488	1389	685	69.9464
AAC73197	1359	1260	337	37.9347
AAC73198	1083	984	480	69.1868
AAC73199	1317	1218	415	48.3257
AAC73200	1245	1146	550	68.0699
AAC73201	1068	969	442	64.6957
AAC73202	1476	1377	688	70.8649
AAC73203	921	822	717	123.716
AAC73204	831	732	686	132.92
AAC73205	1263	1164	1126	137.203
AAC73206	1152	1053	2715	365.694
AAC73207	918	819	7233	1252.6
AAC73208	513	414	1329	455.304
AAC73209	2706	2607	4415	240.196
AAC73210	390	291	112	54.5886
AAC73212	198	99	77	110.314
AAC73213	744	645	322	70.8065
AAC73214	621	522	222	60.3197
AAC73215	1044	945	757	113.616
AAC73217	1203	1104	13	1.67013
AAC73218	1386	1287	84	9.25716
AAC73219	441	342	0	0
AAC73220	894	795	741	132.199
AAC73221	552	453	173	54.1658
AAC73222	855	756	508	95.3057
AAC73223	1374	1275	727	80.8726
AAC73224	765	666	1340	285.369
AAC73225	2664	2565	9495	525.031
AAC73226	1893	1794	7681	607.257
AAC73227	1425	1326	6708	717.508
AAC73228	1854	1755	88	7.11185
AAC73229	2598	2499	5632	319.649
AAC73230	363	264	929	499.101
AAC73231	795	696	706	143.871
AAC73232	867	768	484	89.3843
AAC73233	348	249	305	173.731
AAC73234	1551	1452	595	58.1202
AAC73235	2391	2292	279	17.265
AAC73236	537	438	814	263.589
AAC73237	663	564	1266	318.37
AAC73238	927	828	169	28.949
AAC73239	771	672	278	58.6749
AAC73240	441	342	54	22.3947
AAC73241	1230	1131	234	29.3447
AAC73242	381	282	1147	576.888
AAC73243	903	804	150	26.4614
AAC73244	852	753	1806	340.173
AAC73245	795	696	664	135.312
AAC73246	1239	1140	17	2.11505
AAC73247	597	498	0	0
AAC73248	606	507	20	5.59499
AAC73249	570	471	0	0
AAC73250	2598	2499	10	0.567559
AAC73251	741	642	26	5.74401
AAC73252	585	486	0	0
AAC73253	480	381	152	56.5842
AAC73254	1398	1299	909	99.2503
AAC73255	927	828	188	32.2036
AAC73256	456	357	4480	1779.86
AAC73257	705	606	623	145.812
AAC73258	531	432	122	40.0547
